ID	TARGET
7	2
11	3
12	1
15	3
16	1
17	1
18	3
20	2
22	0
24	1
25	3
30	2
31	2
35	3
39	1
41	2
48	3
51	2
53	1
54	0
55	1
57	2
60	2
62	2
64	1
68	2
71	2
75	1
80	2
89	3
91	1
95	2
96	0
103	2
106	1
107	3
108	3
109	1
111	2
112	2
113	1
115	2
117	3
125	3
131	3
145	2
147	1
148	1
151	2
156	2
158	2
160	2
164	2
171	2
172	1
173	0
177	3
178	1
179	2
180	2
181	0
183	2
188	1
191	1
193	1
194	3
198	1
200	2
201	1
203	3
207	1
213	2
214	1
226	1
230	1
232	1
233	2
236	1
242	2
243	0
244	2
245	1
248	1
250	1
259	2
262	3
264	2
266	3
268	2
271	2
273	0
274	1
277	2
287	1
297	2
298	1
301	3
302	0
308	2
311	3
312	2
314	1
317	2
318	3
320	2
322	2
324	2
325	3
326	3
334	1
338	3
339	3
343	0
346	2
349	1
352	1
356	2
358	2
359	2
361	1
363	2
364	2
366	2
367	1
368	2
371	2
376	1
377	1
378	1
379	1
380	2
388	0
389	2
390	1
392	3
395	1
401	2
406	1
408	2
410	2
415	2
416	0
422	2
423	1
424	2
426	1
428	2
429	2
434	2
435	1
438	2
439	2
444	0
445	1
453	1
456	2
460	1
471	3
482	2
483	3
485	2
486	2
490	3
496	3
499	2
501	3
507	1
508	2
516	3
518	2
522	1
524	3
526	2
528	2
538	1
543	2
552	3
554	2
555	2
556	2
558	1
567	1
568	3
573	1
580	2
581	1
582	2
585	3
586	2
597	2
599	3
600	1
601	2
602	1
606	1
607	3
608	2
615	3
619	1
622	2
630	3
632	1
633	1
635	0
644	3
647	2
649	2
652	1
654	1
662	1
663	0
666	1
668	2
672	2
678	2
680	2
686	2
687	3
688	1
692	3
693	1
694	3
699	2
700	1
703	0
705	2
707	2
708	2
711	1
712	1
715	3
719	1
725	3
726	3
728	1
729	2
730	2
731	2
732	2
735	2
737	2
740	2
742	1
745	2
748	1
750	2
751	1
756	3
757	1
758	1
761	1
763	1
766	3
768	1
769	2
771	3
772	2
773	0
775	1
780	2
781	1
783	1
794	2
795	2
802	2
804	1
806	1
807	0
808	3
813	3
815	1
817	1
818	2
827	2
830	2
834	1
837	1
838	1
839	2
840	2
841	1
843	1
845	1
847	1
850	1
852	2
854	3
855	3
858	1
859	3
866	3
873	1
877	2
879	1
880	1
882	1
884	2
885	1
886	0
888	2
889	1
891	1
895	2
896	2
899	0
904	2
905	1
907	2
908	2
909	2
911	3
912	3
916	2
918	2
919	1
920	2
921	3
922	2
925	1
929	2
933	2
935	1
937	2
940	2
941	2
944	2
945	1
946	2
947	2
951	1
954	1
958	1
964	1
966	2
967	0
973	0
980	1
992	2
995	1
999	3
1000	2
1008	2
1010	2
1012	2
1014	1
1015	1
1017	2
1018	2
1023	3
1027	2
1036	2
1038	2
1039	1
1048	3
1049	2
1053	1
1054	2
1056	1
1060	1
1064	2
1066	2
1067	2
1070	1
1071	2
1077	0
1079	2
1080	1
1083	3
1084	1
1088	2
1092	2
1094	3
1100	3
1102	2
1106	2
1109	0
1111	1
1112	2
1114	3
1115	1
1117	1
1122	3
1125	2
1131	1
1137	2
1138	2
1141	2
1143	2
1149	2
1150	1
1154	2
1155	1
1156	1
1158	2
1161	2
1164	2
1170	1
1171	1
1173	3
1176	2
1177	2
1182	1
1183	2
1187	3
1195	1
1199	2
1200	1
1201	1
1202	2
1205	1
1206	2
1210	1
1211	3
1212	2
1214	2
1216	2
1217	1
1220	1
1226	1
1229	2
1230	1
1237	2
1238	2
1239	1
1241	2
1248	3
1253	3
1255	2
1260	1
1266	2
1267	1
1270	3
1271	1
1272	2
1275	1
1281	3
1284	1
1288	2
1289	1
1295	2
1296	2
1302	2
1304	0
1310	2
