ID	TARGET
7	2
11	1
12	1
15	1
16	3
17	2
18	1
20	3
22	2
24	2
25	2
30	3
31	2
35	2
39	1
41	1
48	2
51	2
53	1
54	2
55	3
57	0
60	1
62	1
64	3
68	1
71	2
75	0
80	2
89	2
91	1
95	3
96	0
103	0
106	2
107	2
108	0
109	3
111	0
112	1
113	1
115	1
117	2
125	0
131	3
145	1
147	3
148	1
151	2
156	2
158	2
160	2
164	1
171	3
172	3
173	2
177	2
178	1
179	2
180	2
181	3
183	2
188	3
191	0
193	3
194	2
198	1
200	3
201	2
203	2
207	3
213	1
214	1
226	1
230	1
232	1
233	2
236	1
242	1
243	3
244	2
245	3
248	0
250	1
259	2
262	1
264	0
266	3
268	3
271	2
273	2
274	2
277	3
287	3
297	1
298	2
301	3
302	1
308	2
311	1
312	2
314	2
317	1
318	2
320	2
322	2
324	2
325	0
326	3
334	1
338	3
339	3
343	1
346	3
349	1
352	1
356	2
358	1
359	2
361	1
363	0
364	2
366	0
367	1
368	2
371	1
376	2
377	3
378	1
379	3
380	2
388	3
389	3
390	2
392	2
395	0
401	1
406	2
408	2
410	2
415	2
416	1
422	1
423	1
424	1
426	2
428	1
429	2
434	2
435	1
438	1
439	1
444	1
445	2
453	1
456	1
460	2
471	1
482	0
483	1
485	2
486	0
490	1
496	2
499	2
501	0
507	3
508	1
516	2
518	0
522	2
524	1
526	0
528	2
538	2
543	2
552	1
554	3
555	2
556	2
558	0
567	2
568	2
573	1
580	2
581	1
582	3
585	3
586	3
597	0
599	0
600	1
601	0
602	0
606	3
607	2
608	3
615	1
619	1
622	3
630	2
632	1
633	3
635	0
644	2
647	1
649	2
652	3
654	1
662	3
663	1
666	1
668	3
672	3
678	1
680	1
686	0
687	2
688	1
692	3
693	2
694	3
699	2
700	2
703	0
705	1
707	2
708	2
711	3
712	1
715	1
719	3
725	2
726	1
728	2
729	2
730	3
731	2
732	2
735	2
737	1
740	1
742	2
745	1
748	1
750	1
751	1
756	2
757	2
758	0
761	3
763	1
766	2
768	2
769	1
771	1
772	2
773	2
775	2
780	3
781	2
783	0
794	2
795	3
802	2
804	1
806	3
807	2
808	3
813	1
815	2
817	1
818	2
827	1
830	3
834	2
837	2
838	1
839	1
840	2
841	1
843	2
845	3
847	1
850	2
852	2
854	0
855	3
858	1
859	2
866	3
873	1
877	3
879	2
880	2
882	1
884	0
885	1
886	1
888	1
889	0
891	2
895	2
896	1
899	2
904	0
905	2
907	2
908	3
909	3
911	2
912	1
916	2
918	0
919	2
920	3
921	3
922	1
925	2
929	3
933	3
935	1
937	0
940	2
941	2
944	0
945	0
946	2
947	2
951	2
954	2
958	1
964	2
966	2
967	2
973	0
980	1
992	2
995	1
999	2
1000	2
1008	2
1010	0
1012	3
1014	1
1015	1
1017	2
1018	2
1023	3
1027	3
1036	1
1038	1
1039	2
1048	2
1049	1
1053	1
1054	2
1056	3
1060	2
1064	1
1066	3
1067	1
1070	2
1071	1
1077	2
1079	1
1080	1
1083	1
1084	0
1088	1
1092	0
1094	2
1100	2
1102	2
1106	2
1109	2
1111	1
1112	2
1114	3
1115	2
1117	1
1122	0
1125	2
1131	0
1137	1
1138	0
1141	1
1143	1
1149	2
1150	0
1154	2
1155	2
1156	1
1158	2
1161	1
1164	2
1170	2
1171	1
1173	1
1176	1
1177	2
1182	0
1183	1
1187	0
1195	1
1199	2
1200	2
1201	2
1202	2
1205	2
1206	1
1210	2
1211	2
1212	0
1214	1
1216	2
1217	1
1220	1
1226	0
1229	2
1230	1
1237	2
1238	1
1239	1
1241	3
1248	2
1253	2
1255	1
1260	1
1266	0
1267	1
1270	1
1271	2
1272	2
1275	1
1281	1
1284	2
1288	1
1289	0
1295	1
1296	1
1302	1
1304	3
1310	1
1314	1
1323	1
1324	1
1328	2
1331	1
1332	2
1333	1
1334	1
1338	0
1341	2
1342	1
1346	3
1350	3
1353	2
1354	2
1355	3
1356	1
1360	2
1362	2
1364	3
1365	2
1367	3
1369	2
1372	3
1376	3
1379	3
1382	0
1385	1
1386	3
1387	3
1390	2
1395	2
1396	1
1401	2
1404	1
1405	2
1409	1
1410	3
1416	2
1421	2
1422	1
1423	1
1424	2
1429	1
1430	2
1435	2
1441	2
1445	1
1448	3
1451	2
1452	2
1454	2
1458	2
1459	2
1463	3
1465	1
1466	3
1467	1
1477	2
1478	2
1482	2
1484	1
1487	1
1493	2
1500	2
1507	0
1514	2
1515	1
1516	1
1517	2
1523	0
1524	2
1535	1
1549	2
1558	0
1559	1
1560	1
1566	3
1568	2
1570	3
1571	1
1572	2
1576	2
1578	2
1580	1
1582	2
1584	2
1588	1
1589	1
1590	2
1593	1
1597	2
1601	1
1602	1
1604	0
1607	3
1609	1
1612	2
1613	1
1616	2
1626	2
1627	1
1629	1
1632	3
1633	1
1637	1
1642	1
1645	2
1647	0
1650	2
1651	1
1652	0
1653	1
1656	3
1658	1
1660	1
1661	2
1663	3
1664	2
1665	2
1667	3
1672	0
1673	0
1675	2
1681	1
1682	2
1683	3
1686	2
1687	3
1688	2
1690	2
1695	2
1696	2
1699	0
1702	1
1705	2
1707	2
