ID	TARGET
7	2
11	0
12	3
15	3
16	2
17	1
18	2
20	1
22	1
24	2
25	3
30	2
31	1
35	2
39	1
41	1
48	1
51	1
53	3
54	3
55	2
57	2
60	2
62	3
64	3
68	3
71	3
75	1
80	1
89	1
91	1
95	0
96	3
103	2
106	3
107	2
108	1
109	3
111	1
112	3
113	2
115	1
117	1
125	1
131	3
145	2
147	1
148	1
151	2
156	2
158	1
160	1
164	0
171	1
172	3
173	1
177	1
178	0
179	2
180	0
181	2
183	1
188	2
191	1
193	2
194	3
198	2
200	3
201	2
203	2
207	1
213	1
214	2
226	1
230	2
232	3
233	2
236	2
242	2
243	1
244	2
245	2
248	0
250	2
259	2
262	2
264	3
266	0
268	1
271	2
273	3
274	1
277	3
287	3
297	1
298	3
301	3
302	2
308	1
311	1
312	1
314	1
317	0
318	2
320	2
322	2
324	2
325	1
326	3
334	1
338	2
339	1
343	2
346	2
349	2
352	1
356	2
358	2
359	2
361	2
363	2
364	1
366	1
367	2
368	3
371	3
376	2
377	2
378	0
379	2
380	0
388	3
389	3
390	1
392	2
395	1
401	3
406	2
408	1
410	3
415	2
416	1
422	3
423	1
424	2
426	1
428	3
429	2
434	0
435	2
438	2
439	2
444	2
445	3
453	1
456	1
460	2
471	2
482	2
483	3
485	3
486	1
490	3
496	1
499	3
501	3
507	0
508	2
516	2
518	3
522	3
524	2
526	2
528	2
538	0
543	3
552	3
554	3
555	2
556	1
558	1
567	3
568	1
573	2
580	2
581	0
582	3
585	3
586	1
597	2
599	3
600	2
601	1
602	2
606	1
607	3
608	2
615	1
619	0
622	2
630	2
632	2
633	2
635	1
644	1
647	1
649	1
652	2
654	2
662	2
663	2
666	2
668	3
672	2
678	2
680	2
686	1
687	2
688	3
692	2
693	1
694	1
699	1
700	3
703	1
705	2
707	2
708	2
711	1
712	3
715	3
719	3
725	2
726	2
728	3
729	2
730	1
731	2
732	2
735	2
737	1
740	1
742	1
745	3
748	0
750	3
751	2
756	1
757	2
758	2
761	2
763	2
766	2
768	2
769	1
771	2
772	2
773	3
775	1
780	2
781	3
783	0
794	2
795	2
802	2
804	1
806	1
807	3
808	2
813	2
815	1
817	2
818	2
827	1
830	2
834	0
837	1
838	1
839	1
840	2
841	3
843	3
845	3
847	3
850	1
852	2
854	2
855	3
858	2
859	2
866	2
873	1
877	1
879	1
880	1
882	2
884	0
885	2
886	1
888	1
889	1
891	2
895	3
896	3
899	1
904	3
905	3
907	1
908	1
909	0
911	3
912	2
916	0
918	2
919	1
920	3
921	2
922	3
925	1
929	1
933	2
935	1
937	1
940	2
941	2
944	3
945	1
946	0
947	2
951	1
954	3
958	2
964	1
966	0
967	1
973	1
980	1
992	3
995	1
999	2
1000	1
1008	1
1010	2
1012	3
1014	1
1015	1
1017	2
1018	2
1023	3
1027	3
1036	2
1038	2
1039	1
1048	1
1049	1
1053	2
1054	3
1056	0
1060	1
1064	1
1066	1
1067	0
1070	1
1071	2
1077	2
1079	1
1080	1
1083	3
1084	3
1088	1
1092	2
1094	2
1100	0
1102	1
1106	2
1109	3
1111	2
1112	3
1114	1
1115	2
1117	1
1122	3
1125	2
1131	3
1137	1
1138	1
1141	2
1143	0
1149	2
1150	2
1154	1
1155	2
1156	0
1158	2
1161	2
1164	1
1170	1
1171	2
1173	0
1176	1
1177	1
1182	1
1183	2
1187	1
1195	1
1199	2
1200	1
1201	2
1202	1
1205	1
1206	2
1210	2
1211	3
1212	2
1214	1
1216	1
1217	1
1220	2
1226	2
1229	3
1230	1
1237	0
1238	3
1239	3
1241	2
1248	2
1253	2
1255	2
1260	2
1266	2
1267	2
1270	1
1271	3
1272	3
