ID	TARGET
3983	3
8810	1
3898	1
4590	3
8539	1
6149	1
7738	2
5433	3
8227	1
7636	1
1040	3
8230	3
3845	2
833	3
2371	2
7855	2
3838	1
76	3
2060	3
4359	1
1954	3
8298	1
5582	2
1693	3
8778	1
5749	1
5219	1
7480	0
42	2
638	1
1555	3
1470	3
8142	3
1757	0
5776	1
1910	2
3375	0
6991	2
3861	2
256	1
6744	1
4083	1
7414	2
1160	2
8153	3
1680	1
5702	3
5224	1
9152	1
6776	1
8960	2
8530	2
2459	3
3799	1
5207	2
6148	2
4309	2
1174	2
2460	2
5405	1
2630	2
6184	3
7591	1
8317	1
874	2
691	3
6473	0
8956	1
1037	1
3681	2
8781	1
2086	1
6337	1
6177	1
182	0
962	0
6704	1
1388	1
8910	1
8258	1
6733	2
7565	2
2325	1
4861	2
9233	0
5562	3
8439	3
6209	0
212	1
6942	1
3510	2
3713	2
3517	1
4408	2
1221	2
4005	1
442	3
5227	1
500	1
6161	2
136	2
8951	3
5736	1
5349	3
7609	3
2480	1
5832	1
114	0
4792	0
8342	0
7090	1
2924	0
267	1
2438	1
2106	2
713	2
6441	2
4293	0
2772	2
9145	3
38	2
6506	2
6575	0
8441	2
2921	2
6856	3
1759	1
8333	2
8732	1
8753	1
2031	2
2087	0
3476	1
6771	2
5221	2
2116	1
4286	2
2295	1
9181	2
1303	2
2856	2
553	2
5443	2
2666	1
4547	3
9164	1
2500	2
7144	1
3042	1
890	1
166	3
8986	1
5176	1
2298	2
4343	0
4151	1
5149	2
192	1
2389	2
7926	1
1563	2
5807	1
8830	1
7239	1
5987	1
5783	1
9175	0
1947	1
8668	1
2561	2
129	3
4595	2
5193	2
8402	2
2021	1
7032	1
4051	1
6089	3
1457	2
4319	1
2635	2
5673	1
2634	3
4720	1
2082	2
3760	2
5875	2
6224	3
3067	1
2016	2
7758	0
4376	1
2276	1
5581	2
307	3
6521	2
6672	1
5592	3
9061	2
3019	2
4370	3
6041	3
6962	1
1820	1
1058	2
1057	2
1859	3
5934	1
8729	2
5213	2
6578	0
5001	1
752	3
6094	1
4564	0
557	3
8613	2
305	2
1783	1
7310	3
6865	1
4674	1
2878	3
2467	1
